sentence,label
eng pump bolt needs loctite,h
diverter valve leaking hyd oil,s
repair leak in slew brake pmp,s
roller need 2 c/out,h
replace brake pads & leaking booste,s
low eng power,h
steering wheel telescopic adj u/s,s
repl rhs lift cylinder,h
inverter batteries arenot charged,s
slew pump hose has coolant leak,s
a-frame clevis pin no grease,h
need clean out steering pump hose,s
fan pump drive has leak,s
cw oil cooler bypass tube leakin,h
check lube to rear l/h dirt chute roller,h
pmp motor hoses are leakig,s
parts washer pump chip sensor alarm,s
extra lighting,h
engine water pump shaft snapped,s
rep leaking brake pmp hose,s
leak in condenser fan hose,s
inv rep engine shut fault,h
both swing lube solenoid seal valve u/s,s
replace rear drive unis,h
cleaning needed fo eng a/cond,h
cracked blade liner needs replacement,s
repair cracks in mud buc,h
get c/o worn cutting edges,h
/co water pump sft unserviceable,h
loctite needed on steering pmp bolt,s
pos 9 strut pins removed,h
replace missing bolts,s
rhs bucket,s
fast fill bkt broken,h
rep pin grease leak,h
replace all bucket teeth tbc,s
fix transmission hose leak,s
pmp hose is in need of repair,s
investigate pump drive wear,s
repair leaking grease gun,s
fuel primmer pump failed,s
hst brake hose needs 2 be cleaned,h
renew battery isolator,s
engine air conditioner guard broken,s
loctite needed on slew pmp bolt,s
controller filt needs replacement worn,h
h/rail is cracked,s
repair turbo oil supply line,s
fuel leakingfrom fan pump,h
controller filterhose leaks oil,h
bear on compressor noisy,h
boardinng ladder ain' t working,h
repair eng oil leak,s
clean filters on all cabinets,s
replacing needed 4 eng pump bolt,s
fit drop bar on upper deck,s
tighten loose propel frame bolts,h
fit safety bar at top of ladder,s
centre horiz fairlead sheave c/out,h
check grease lines to ibs rope pins,h
leak in hst brake hose,h
chute is crackeed,h
clevis pin needs grease,s
replace engine bay c/breakers,s
extending needed 4 mast dust flap,h
replace steering column cover,s
main lts out,h
emergency ladder gate latch u/s,h
replace cannon cylinder,s
c/out brake swing rht frnt,h
4 light staying on,h
r/fr idicater and park light u/s,h
repl steerng cylinder lhs,h
radio reqs new aerial,s
replace r/h outer lip shroud,h
repair aircon,h
boom lights inoperative,s
replace u/s jockey wheel,h
vari rate not working spray&can,h
rh shoe cantilever ladder h/rail cracked,h
leak fuel from tilt cylinder hose,s
coolant leak front of engine,h
weeping hose,h
replace r/hand drag chain d/line,h
leak in hoist motor hose,s
aircon. comp continuously tripping out,h
wiper mtr hose needs oil leak rep,h
diff oil is leaking,s
e/l trials on lh rear door,h
steering chamber pin grease is leaking,s
wtr pmp. shaft must be replaced,s
hitch hose requires clean,s
inspect hyd cyl blade tilt rht,h
install missing smoke detector in cab,s
replace all four tyres,s
bucket lip repairs,h
steering cylinder bearing is noisy,s
cab. smoke detector needs replacement missing,h
tilt cylinder gaurds,s
c/o transmission mgt. u/s,h
