sentence,label
eng pump bolt needs loctite,s
diverter valve leaking hyd oil,s
repair leak in slew brake pmp,s
roller need 2 c/out,s
replace brake pads & leaking booste,h
low eng power,h
steering wheel telescopic adj u/s,h
repl rhs lift cylinder,h
inverter batteries arenot charged,s
slew pump hose has coolant leak,s
a-frame clevis pin no grease,s
need clean out steering pump hose,s
fan pump drive has leak,s
cw oil cooler bypass tube leakin,h
check lube to rear l/h dirt chute roller,h
pmp motor hoses are leakig,s
parts washer pump chip sensor alarm,s
extra lighting,h
engine water pump shaft snapped,s
rep leaking brake pmp hose,s
leak in condenser fan hose,s
inv rep engine shut fault,h
both swing lube solenoid seal valve u/s,h
replace rear drive unis,h
cleaning needed fo eng a/cond,s
cracked blade liner needs replacement,s
repair cracks in mud buc,s
get c/o worn cutting edges,h
/co water pump sft unserviceable,s
loctite needed on steering pmp bolt,s
pos 9 strut pins removed,h
replace missing bolts,h
rhs bucket,h
fast fill bkt broken,h
rep pin grease leak,s
replace all bucket teeth tbc,h
fix transmission hose leak,s
pmp hose is in need of repair,s
investigate pump drive wear,h
repair leaking grease gun,h
fuel primmer pump failed,h
hst brake hose needs 2 be cleaned,s
renew battery isolator,h
engine air conditioner guard broken,s
loctite needed on slew pmp bolt,s
controller filt needs replacement worn,s
h/rail is cracked,s
repair turbo oil supply line,h
fuel leakingfrom fan pump,s
controller filterhose leaks oil,s
bear on compressor noisy,s
boardinng ladder ain' t working,s
repair eng oil leak,h
clean filters on all cabinets,h
replacing needed 4 eng pump bolt,s
fit drop bar on upper deck,h
tighten loose propel frame bolts,h
fit safety bar at top of ladder,h
centre horiz fairlead sheave c/out,h
check grease lines to ibs rope pins,h
leak in hst brake hose,s
chute is crackeed,s
clevis pin needs grease,s
replace engine bay c/breakers,h
extending needed 4 mast dust flap,s
replace steering column cover,h
main lts out,h
emergency ladder gate latch u/s,h
replace cannon cylinder,h
c/out brake swing rht frnt,h
4 light staying on,h
r/fr idicater and park light u/s,h
repl steerng cylinder lhs,h
radio reqs new aerial,s
replace r/h outer lip shroud,h
repair aircon,h
boom lights inoperative,h
replace u/s jockey wheel,h
vari rate not working spray&can,h
rh shoe cantilever ladder h/rail cracked,h
leak fuel from tilt cylinder hose,s
coolant leak front of engine,h
weeping hose,s
replace r/hand drag chain d/line,h
leak in hoist motor hose,s
aircon. comp continuously tripping out,s
wiper mtr hose needs oil leak rep,s
diff oil is leaking,s
e/l trials on lh rear door,h
steering chamber pin grease is leaking,s
wtr pmp. shaft must be replaced,s
hitch hose requires clean,s
inspect hyd cyl blade tilt rht,h
install missing smoke detector in cab,s
replace all four tyres,h
bucket lip repairs,h
steering cylinder bearing is noisy,s
cab. smoke detector needs replacement missing,s
tilt cylinder gaurds,h
c/o transmission mgt. u/s,s
