sentence,label,,label,count
eng pump bolt needs loctite,h,,h,50
diverter valve leaking hyd oil,s,,s,50
repair leak in slew brake pmp,h,,,
roller need 2 c/out,s,,,
replace brake pads & leaking booste,h,,,
low eng power,h,,,
steering wheel telescopic adj u/s,h,,,
repl rhs lift cylinder,s,,,
inverter batteries arenot charged,h,,,
slew pump hose has coolant leak,s,,,
a-frame clevis pin no grease,h,,,
need clean out steering pump hose,s,,,
fan pump drive has leak,h,,,
cw oil cooler bypass tube leakin,s,,,
check lube to rear l/h dirt chute roller,s,,,
pmp motor hoses are leakig,h,,,
parts washer pump chip sensor alarm,s,,,
extra lighting,s,,,
engine water pump shaft snapped,h,,,
rep leaking brake pmp hose,h,,,
leak in condenser fan hose,h,,,
inv rep engine shut fault,s,,,
both swing lube solenoid seal valve u/s,h,,,
replace rear drive unis,h,,,
cleaning needed fo eng a/cond,s,,,
cracked blade liner needs replacement,s,,,
repair cracks in mud buc,h,,,
get c/o worn cutting edges,s,,,
/co water pump sft unserviceable,h,,,
loctite needed on steering pmp bolt,h,,,
pos 9 strut pins removed,s,,,
replace missing bolts,s,,,
rhs bucket,s,,,
fast fill bkt broken,s,,,
rep pin grease leak,s,,,
replace all bucket teeth tbc,s,,,
fix transmission hose leak,h,,,
pmp hose is in need of repair,s,,,
investigate pump drive wear,h,,,
repair leaking grease gun,h,,,
fuel primmer pump failed,h,,,
hst brake hose needs 2 be cleaned,h,,,
renew battery isolator,h,,,
engine air conditioner guard broken,h,,,
loctite needed on slew pmp bolt,s,,,
controller filt needs replacement worn,s,,,
h/rail is cracked,s,,,
repair turbo oil supply line,h,,,
fuel leakingfrom fan pump,s,,,
controller filterhose leaks oil,h,,,
bear on compressor noisy,s,,,
boardinng ladder ain' t working,h,,,
repair eng oil leak,s,,,
clean filters on all cabinets,h,,,
replacing needed 4 eng pump bolt,s,,,
fit drop bar on upper deck,h,,,
tighten loose propel frame bolts,s,,,
fit safety bar at top of ladder,s,,,
centre horiz fairlead sheave c/out,s,,,
check grease lines to ibs rope pins,h,,,
leak in hst brake hose,h,,,
chute is crackeed,h,,,
clevis pin needs grease,h,,,
replace engine bay c/breakers,s,,,
extending needed 4 mast dust flap,s,,,
replace steering column cover,s,,,
main lts out,s,,,
emergency ladder gate latch u/s,h,,,
replace cannon cylinder,h,,,
c/out brake swing rht frnt,s,,,
4 light staying on,s,,,
r/fr idicater and park light u/s,s,,,
repl steerng cylinder lhs,h,,,
radio reqs new aerial,h,,,
replace r/h outer lip shroud,s,,,
repair aircon,s,,,
boom lights inoperative,s,,,
replace u/s jockey wheel,h,,,
vari rate not working spray&can,s,,,
rh shoe cantilever ladder h/rail cracked,s,,,
leak fuel from tilt cylinder hose,h,,,
coolant leak front of engine,h,,,
weeping hose,s,,,
replace r/hand drag chain d/line,h,,,
leak in hoist motor hose,s,,,
aircon. comp continuously tripping out,h,,,
wiper mtr hose needs oil leak rep,s,,,
diff oil is leaking,h,,,
e/l trials on lh rear door,s,,,
steering chamber pin grease is leaking,h,,,
wtr pmp. shaft must be replaced,h,,,
hitch hose requires clean,s,,,
inspect hyd cyl blade tilt rht,s,,,
install missing smoke detector in cab,h,,,
replace all four tyres,h,,,
bucket lip repairs,h,,,
steering cylinder bearing is noisy,h,,,
cab. smoke detector needs replacement missing,s,,,
tilt cylinder gaurds,h,,,
c/o transmission mgt. u/s,s,,,
