sentence,label,,label,count
eng pump bolt needs loctite,s,,h,50
diverter valve leaking hyd oil,h,,s,50
repair leak in slew brake pmp,s,,,
roller need 2 c/out,s,,,
replace brake pads & leaking booste,s,,,
low eng power,h,,,
steering wheel telescopic adj u/s,s,,,
repl rhs lift cylinder,s,,,
inverter batteries arenot charged,s,,,
slew pump hose has coolant leak,s,,,
a-frame clevis pin no grease,h,,,
need clean out steering pump hose,s,,,
fan pump drive has leak,s,,,
cw oil cooler bypass tube leakin,s,,,
check lube to rear l/h dirt chute roller,h,,,
pmp motor hoses are leakig,s,,,
parts washer pump chip sensor alarm,h,,,
extra lighting,h,,,
engine water pump shaft snapped,h,,,
rep leaking brake pmp hose,s,,,
leak in condenser fan hose,h,,,
inv rep engine shut fault,s,,,
both swing lube solenoid seal valve u/s,h,,,
replace rear drive unis,s,,,
cleaning needed fo eng a/cond,s,,,
cracked blade liner needs replacement,h,,,
repair cracks in mud buc,s,,,
get c/o worn cutting edges,h,,,
/co water pump sft unserviceable,s,,,
loctite needed on steering pmp bolt,s,,,
pos 9 strut pins removed,h,,,
replace missing bolts,s,,,
rhs bucket,h,,,
fast fill bkt broken,h,,,
rep pin grease leak,s,,,
replace all bucket teeth tbc,h,,,
fix transmission hose leak,h,,,
pmp hose is in need of repair,s,,,
investigate pump drive wear,h,,,
repair leaking grease gun,h,,,
fuel primmer pump failed,h,,,
hst brake hose needs 2 be cleaned,s,,,
renew battery isolator,h,,,
engine air conditioner guard broken,h,,,
loctite needed on slew pmp bolt,s,,,
controller filt needs replacement worn,h,,,
h/rail is cracked,s,,,
repair turbo oil supply line,h,,,
fuel leakingfrom fan pump,s,,,
controller filterhose leaks oil,h,,,
bear on compressor noisy,s,,,
boardinng ladder ain' t working,s,,,
repair eng oil leak,h,,,
clean filters on all cabinets,h,,,
replacing needed 4 eng pump bolt,s,,,
fit drop bar on upper deck,h,,,
tighten loose propel frame bolts,h,,,
fit safety bar at top of ladder,h,,,
centre horiz fairlead sheave c/out,s,,,
check grease lines to ibs rope pins,h,,,
leak in hst brake hose,s,,,
chute is crackeed,s,,,
clevis pin needs grease,h,,,
replace engine bay c/breakers,h,,,
extending needed 4 mast dust flap,s,,,
replace steering column cover,h,,,
main lts out,s,,,
emergency ladder gate latch u/s,h,,,
replace cannon cylinder,h,,,
c/out brake swing rht frnt,s,,,
4 light staying on,s,,,
r/fr idicater and park light u/s,s,,,
repl steerng cylinder lhs,s,,,
radio reqs new aerial,s,,,
replace r/h outer lip shroud,h,,,
repair aircon,h,,,
boom lights inoperative,s,,,
replace u/s jockey wheel,h,,,
vari rate not working spray&can,h,,,
rh shoe cantilever ladder h/rail cracked,h,,,
leak fuel from tilt cylinder hose,s,,,
coolant leak front of engine,h,,,
weeping hose,h,,,
replace r/hand drag chain d/line,s,,,
leak in hoist motor hose,h,,,
aircon. comp continuously tripping out,s,,,
wiper mtr hose needs oil leak rep,s,,,
diff oil is leaking,h,,,
e/l trials on lh rear door,s,,,
steering chamber pin grease is leaking,h,,,
wtr pmp. shaft must be replaced,s,,,
hitch hose requires clean,h,,,
inspect hyd cyl blade tilt rht,s,,,
install missing smoke detector in cab,h,,,
replace all four tyres,h,,,
bucket lip repairs,h,,,
steering cylinder bearing is noisy,h,,,
cab. smoke detector needs replacement missing,s,,,
tilt cylinder gaurds,s,,,
c/o transmission mgt. u/s,s,,,
