sentence,label,,label,count
eng pump bolt needs loctite,h,,h,50
diverter valve leaking hyd oil,h,,s,50
repair leak in slew brake pmp,s,,,
roller need 2 c/out,s,,,
replace brake pads & leaking booste,s,,,
low eng power,h,,,
steering wheel telescopic adj u/s,s,,,
repl rhs lift cylinder,h,,,
inverter batteries arenot charged,s,,,
slew pump hose has coolant leak,h,,,
a-frame clevis pin no grease,h,,,
need clean out steering pump hose,s,,,
fan pump drive has leak,s,,,
cw oil cooler bypass tube leakin,s,,,
check lube to rear l/h dirt chute roller,h,,,
pmp motor hoses are leakig,s,,,
parts washer pump chip sensor alarm,s,,,
extra lighting,h,,,
engine water pump shaft snapped,s,,,
rep leaking brake pmp hose,s,,,
leak in condenser fan hose,h,,,
inv rep engine shut fault,h,,,
both swing lube solenoid seal valve u/s,h,,,
replace rear drive unis,s,,,
cleaning needed fo eng a/cond,h,,,
cracked blade liner needs replacement,s,,,
repair cracks in mud buc,s,,,
get c/o worn cutting edges,h,,,
/co water pump sft unserviceable,s,,,
loctite needed on steering pmp bolt,h,,,
pos 9 strut pins removed,h,,,
replace missing bolts,s,,,
rhs bucket,h,,,
fast fill bkt broken,s,,,
rep pin grease leak,s,,,
replace all bucket teeth tbc,h,,,
fix transmission hose leak,s,,,
pmp hose is in need of repair,s,,,
investigate pump drive wear,h,,,
repair leaking grease gun,h,,,
fuel primmer pump failed,s,,,
hst brake hose needs 2 be cleaned,s,,,
renew battery isolator,h,,,
engine air conditioner guard broken,s,,,
loctite needed on slew pmp bolt,s,,,
controller filt needs replacement worn,h,,,
h/rail is cracked,h,,,
repair turbo oil supply line,s,,,
fuel leakingfrom fan pump,s,,,
controller filterhose leaks oil,h,,,
bear on compressor noisy,s,,,
boardinng ladder ain' t working,h,,,
repair eng oil leak,s,,,
clean filters on all cabinets,s,,,
replacing needed 4 eng pump bolt,s,,,
fit drop bar on upper deck,h,,,
tighten loose propel frame bolts,h,,,
fit safety bar at top of ladder,h,,,
centre horiz fairlead sheave c/out,h,,,
check grease lines to ibs rope pins,h,,,
leak in hst brake hose,s,,,
chute is crackeed,h,,,
clevis pin needs grease,h,,,
replace engine bay c/breakers,s,,,
extending needed 4 mast dust flap,s,,,
replace steering column cover,h,,,
main lts out,h,,,
emergency ladder gate latch u/s,s,,,
replace cannon cylinder,h,,,
c/out brake swing rht frnt,h,,,
4 light staying on,s,,,
r/fr idicater and park light u/s,h,,,
repl steerng cylinder lhs,s,,,
radio reqs new aerial,h,,,
replace r/h outer lip shroud,s,,,
repair aircon,h,,,
boom lights inoperative,s,,,
replace u/s jockey wheel,h,,,
vari rate not working spray&can,h,,,
rh shoe cantilever ladder h/rail cracked,s,,,
leak fuel from tilt cylinder hose,s,,,
coolant leak front of engine,h,,,
weeping hose,h,,,
replace r/hand drag chain d/line,h,,,
leak in hoist motor hose,s,,,
aircon. comp continuously tripping out,s,,,
wiper mtr hose needs oil leak rep,s,,,
diff oil is leaking,h,,,
e/l trials on lh rear door,s,,,
steering chamber pin grease is leaking,h,,,
wtr pmp. shaft must be replaced,h,,,
hitch hose requires clean,s,,,
inspect hyd cyl blade tilt rht,h,,,
install missing smoke detector in cab,h,,,
replace all four tyres,s,,,
bucket lip repairs,s,,,
steering cylinder bearing is noisy,s,,,
cab. smoke detector needs replacement missing,h,,,
tilt cylinder gaurds,h,,,
c/o transmission mgt. u/s,s,,,
