Sentence,Target,Guess,Annotator
1,h,s,1
1,h,s,2
1,h,h,3
1,h,s,4
1,h,h,5
1,h,h,6
1,h,h,7
2,h,h,1
2,h,h,2
2,h,h,3
2,h,s,4
2,h,h,5
2,h,s,6
2,h,h,7
3,s,s,1
3,s,h,2
3,s,h,3
3,s,s,4
3,s,s,5
3,s,s,6
3,s,s,7
4,s,h,1
4,s,s,2
4,s,h,3
4,s,s,4
4,s,h,5
4,s,h,6
4,s,s,7
5,s,h,1
5,s,h,2
5,s,s,3
5,s,s,4
5,s,s,5
5,s,s,6
5,s,h,7
6,s,s,1
6,s,s,2
6,s,h,3
6,s,s,4
6,s,s,5
6,s,h,6
6,s,s,7
7,h,h,1
7,h,h,2
7,h,h,3
7,h,h,4
7,h,s,5
7,h,s,6
7,h,s,7
8,h,s,1
8,h,h,2
8,h,s,3
8,h,s,4
8,h,s,5
8,h,h,6
8,h,h,7
9,h,s,1
9,h,h,2
9,h,s,3
9,h,s,4
9,h,s,5
9,h,h,6
9,h,h,7
10,s,h,1
10,s,h,2
10,s,h,3
10,s,h,4
10,s,h,5
10,s,s,6
10,s,h,7
11,h,s,1
11,h,s,2
11,h,s,3
11,h,h,4
11,h,h,5
11,h,h,6
11,h,s,7
12,h,h,1
12,h,s,2
12,h,h,3
12,h,h,4
12,h,s,5
12,h,h,6
12,h,s,7
13,h,s,1
13,h,s,2
13,h,h,3
13,h,h,4
13,h,s,5
13,h,s,6
13,h,s,7
14,s,h,1
14,s,h,2
14,s,s,3
14,s,h,4
14,s,h,5
14,s,h,6
14,s,h,7
15,s,h,1
15,s,h,2
15,s,h,3
15,s,h,4
15,s,s,5
15,s,h,6
15,s,s,7
16,s,s,1
16,s,h,2
16,s,s,3
16,s,h,4
16,s,h,5
16,s,s,6
16,s,h,7
17,s,h,1
17,s,s,2
17,s,h,3
17,s,s,4
17,s,s,5
17,s,s,6
17,s,h,7
18,h,h,1
18,h,h,2
18,h,s,3
18,h,h,4
18,h,h,5
18,h,h,6
18,h,h,7
19,s,h,1
19,s,s,2
19,s,h,3
19,s,h,4
19,s,s,5
19,s,s,6
19,s,h,7
20,s,s,1
20,s,s,2
20,s,h,3
20,s,h,4
20,s,s,5
20,s,s,6
20,s,s,7
21,s,h,1
21,s,h,2
21,s,s,3
21,s,h,4
21,s,s,5
21,s,s,6
21,s,h,7
22,s,h,1
22,s,s,2
22,s,h,3
22,s,s,4
22,s,h,5
22,s,s,6
22,s,h,7
23,s,h,1
23,s,s,2
23,s,h,3
23,s,h,4
23,s,s,5
23,s,s,6
23,s,h,7
24,s,h,1
24,s,h,2
24,s,s,3
24,s,s,4
24,s,s,5
24,s,h,6
24,s,h,7
25,s,s,1
25,s,h,2
25,s,h,3
25,s,s,4
25,s,h,5
25,s,h,6
25,s,s,7
26,h,h,1
26,h,s,2
26,h,h,3
26,h,h,4
26,h,s,5
26,h,h,6
26,h,s,7
27,s,h,1
27,s,s,2
27,s,h,3
27,s,h,4
27,s,s,5
27,s,s,6
27,s,s,7
28,h,h,1
28,h,h,2
28,h,s,3
28,h,s,4
28,h,h,5
28,h,h,6
28,h,h,7
29,h,h,1
29,h,s,2
29,h,h,3
29,h,h,4
29,h,s,5
29,h,h,6
29,h,h,7
30,s,s,1
30,s,s,2
30,s,h,3
30,s,h,4
30,s,s,5
30,s,h,6
30,s,s,7
31,s,s,1
31,s,h,2
31,s,s,3
31,s,s,4
31,s,s,5
31,s,s,6
31,s,s,7
32,h,s,1
32,h,s,2
32,h,h,3
32,h,s,4
